1	18	5	10	3	
6	11	2	19	14	
17	22	13	4	9	
12	7	24	15	20	
23	16	21	8	25	

1	16	5	10	3	
6	11	2	15	20	
17	22	19	4	9	
12	7	24	21	14	
23	18	13	8	25	

1	20	5	10	3	
6	11	2	21	16	
19	22	15	4	9	
12	7	24	17	14	
23	18	13	8	25	

1	18	5	12	3	
8	13	2	17	6	
19	22	7	4	11	
14	9	24	21	16	
23	20	15	10	25	

1	10	5	18	3	
14	19	2	11	6	
9	22	13	4	17	
20	15	24	7	12	
23	8	21	16	25	

1	10	5	16	3	
12	17	2	21	6	
9	22	11	4	15	
18	13	24	7	20	
23	8	19	14	25	

1	18	11	6	3	
10	5	2	17	12	
19	22	13	4	7	
14	9	24	21	16	
23	20	15	8	25	

1	16	11	6	3	
10	5	2	17	12	
15	22	19	4	7	
20	9	24	13	18	
23	14	21	8	25	

1	16	11	6	3	
10	5	2	21	12	
15	22	17	4	7	
18	9	24	13	20	
23	14	19	8	25	

1	16	21	6	3	
10	5	2	15	20	
17	22	11	4	7	
12	9	24	19	14	
23	18	13	8	25	

1	18	13	8	3	
12	5	2	19	14	
17	22	7	4	9	
6	11	24	15	20	
23	16	21	10	25	

1	10	19	14	3	
18	5	2	9	20	
11	22	13	4	15	
6	17	24	21	8	
23	12	7	16	25	

1	10	21	16	3	
20	5	2	9	14	
11	22	15	4	17	
6	19	24	13	8	
23	12	7	18	25	

1	20	15	10	3	
14	5	2	21	16	
19	22	9	4	11	
6	13	24	17	8	
23	18	7	12	25	

1	18	7	12	3	
6	13	2	17	8	
19	22	9	4	11	
14	5	24	21	16	
23	20	15	10	25	

1	12	7	18	3	
6	19	2	13	8	
11	22	15	4	17	
20	5	24	9	14	
23	10	21	16	25	

1	12	7	16	3	
6	17	2	21	8	
11	22	13	4	15	
18	5	24	9	20	
23	10	19	14	25	

1	16	21	10	3	
6	11	2	15	20	
17	22	7	4	9	
12	5	24	19	14	
23	18	13	8	25	

1	18	13	8	3	
12	9	2	19	14	
17	22	11	4	7	
10	5	24	15	20	
23	16	21	6	25	

1	14	19	8	3	
18	9	2	13	20	
15	22	17	4	7	
10	5	24	21	12	
23	16	11	6	25	

1	14	21	8	3	
20	9	2	13	18	
15	22	19	4	7	
10	5	24	17	12	
23	16	11	6	25	

1	20	15	8	3	
14	9	2	21	16	
19	22	13	4	7	
10	5	24	17	12	
23	18	11	6	25	

1	18	13	8	3	
12	7	2	17	14	
19	22	15	4	9	
6	11	24	21	16	
23	20	5	10	25	

1	18	13	8	3	
12	7	2	21	14	
17	22	19	4	9	
6	11	24	15	20	
23	16	5	10	25	

1	16	21	8	3	
12	7	2	15	20	
17	22	13	4	9	
6	11	24	19	14	
23	18	5	10	25	

1	8	19	14	3	
18	13	2	7	20	
9	22	11	4	15	
12	17	24	21	6	
23	10	5	16	25	

1	8	21	16	3	
20	15	2	7	12	
9	22	13	4	17	
14	19	24	11	6	
23	10	5	18	25	

1	20	15	10	3	
14	9	2	21	16	
19	22	7	4	11	
8	13	24	17	6	
23	18	5	12	25	

1	20	13	8	3	
12	7	2	19	14	
21	24	15	4	9	
16	11	6	23	18	
25	22	17	10	5	

1	18	13	8	3	
12	7	2	19	14	
17	24	21	4	9	
22	11	6	15	20	
25	16	23	10	5	

1	18	13	8	3	
12	7	2	23	14	
17	24	19	4	9	
20	11	6	15	22	
25	16	21	10	5	

1	18	23	8	3	
12	7	2	17	22	
19	24	13	4	9	
14	11	6	21	16	
25	20	15	10	5	

1	20	15	10	3	
14	7	2	21	16	
19	24	9	4	11	
8	13	6	17	22	
25	18	23	12	5	

1	12	21	16	3	
20	7	2	11	22	
13	24	15	4	17	
8	19	6	23	10	
25	14	9	18	5	

1	12	23	18	3	
22	7	2	11	16	
13	24	17	4	19	
8	21	6	15	10	
25	14	9	20	5	

1	22	17	12	3	
